ds,yhat,yhat_lower,yhat_upper
2021-09-01,14880.71561780239,443.8419481307099,30364.94692489648
2021-10-01,27985.461753914737,13844.696317572556,42403.85187121345
2021-11-01,25598.530168929025,11006.763052910152,40979.04183905337
2021-12-01,24007.01158634491,9741.196392776934,37687.02629583711
2022-01-01,5137.406390583326,-9014.09589154321,20070.735849669833
2022-02-01,15649.642381600173,441.9243627023496,29968.237856264823
2022-03-01,30597.862959402337,15880.427675425459,45115.11900252492
2022-04-01,30000.462584303776,15308.352863836606,46089.97416029727
2022-05-01,27864.967312578243,11840.954544189597,42986.936830369625
2022-06-01,21079.96568921513,6934.282441145037,35916.78041091253
2022-07-01,21304.361978444515,5391.918628383684,35426.86150933463
2022-08-01,11844.99575134676,-2480.7532382235854,26620.58434413021
2022-09-01,17584.468135214327,2137.2352143147086,31666.076416695134
2022-10-01,23184.030162325278,8397.86359858832,38202.784656949094
2022-11-01,26071.446863080346,13069.468956486982,40936.719137050095
2022-12-01,26271.490753549864,11942.647047309994,39815.42130387384
2023-01-01,14351.291157896518,-1107.5554610091576,29390.090394042832
2023-02-01,17995.434818497903,4059.9814824815385,33027.83318981538
2023-03-01,32807.210241062465,17446.24390976907,47422.542032215555
2023-04-01,25219.245972904417,9388.662320639229,39771.65502431294
2023-05-01,22865.92655799961,8134.720692353685,37311.87377226586
2023-06-01,23549.47509596431,9173.166378772168,37911.7070888845
2023-07-01,16626.468291761565,1263.984775218597,31140.902657067276
2023-08-01,12261.183904629386,-1827.2674107455707,27460.958051278416
2023-09-01,20191.90856983585,6140.426729752362,34335.75502866228
2023-10-01,32087.32779462951,16943.766243578768,47190.178227240875
2023-11-01,28404.78492873664,13520.659945092188,42661.275977135236
2023-12-01,28440.18411968674,13387.129350683199,43518.69354165052
2024-01-01,9346.849716965231,-4933.59880348249,23725.23835301611
2024-02-01,20569.99761638867,4922.13852303073,35201.12375237469
2024-03-01,36881.0774920248,22573.722182895966,51688.93570652445
2024-04-01,28624.88394326069,14168.577906024368,42843.80971861159
2024-05-01,24116.86011548223,9090.230221302701,37701.76049432563
2024-06-01,20417.414932638345,5329.037928356524,34917.56027648545
2024-07-01,19724.019260187117,5531.37544529253,34573.5169101826
2024-08-01,16032.256027667321,467.83632612646954,30288.07707386198
2024-09-01,23041.994383718313,8329.231645438002,38200.23242955446
2024-09-02,16091.814442783952,1078.5577368338443,31009.06222378381
2024-09-09,11983.096524477496,-2584.8556829226463,27422.985388018224
2024-09-16,13528.795681082287,-289.830702785811,27794.11927498831
2024-09-23,20064.536864569956,5491.619189664732,34604.701731631096
2024-09-30,26756.45897177064,13086.18211036588,42538.49017783647
2024-10-01,26877.64403025817,12208.950501381245,41024.27108868879
2024-10-07,29850.411897180726,14820.99812755505,45304.57868042267
2024-10-14,29872.63926279063,15346.517139412099,44406.46999981405
2024-10-21,29454.864906208113,15631.354805392097,45410.04338651629
2024-10-28,29225.02896779574,14550.830595556505,43957.415313562524
2024-11-01,32120.268457687383,16999.441810174172,47085.31421930714
2024-11-04,27354.994456363544,12956.537716247527,41537.37820734866
2024-11-11,23233.56543489759,8737.080694013657,37584.25777366695
2024-11-18,19955.324636002286,5223.683967575677,34373.857623999145
2024-11-25,21494.3304019183,7387.215106402639,36163.451033522935
2024-12-01,32607.40946814092,17766.103595142034,48302.79709664584
2024-12-02,27399.9935884022,12390.043387507472,41442.611727371106
2024-12-09,31804.985318465504,17449.405638979457,45418.17304268686
2024-12-16,28989.616250630148,13712.015859564557,43073.31306349473
2024-12-23,19755.62359387167,4310.262171740471,34705.45648422941
2024-12-30,11204.755059446114,-2941.1162733376063,25730.964896733385
2025-01-01,10639.706050111881,-4564.113826354361,24750.827161657096
2025-01-06,9701.813184944895,-4917.995227874832,25079.090225601183
2025-01-13,14633.787561635314,337.4792886710034,29355.5271394461
2025-01-20,19784.219689490517,4248.864378669589,33495.175623037314
2025-01-27,20523.7959292521,6203.187148356085,36089.222298369605
2025-02-01,17131.6605375851,3251.5115550188075,32172.572266952528
2025-02-03,18583.595695399003,5450.641130092484,33355.12629174061
2025-02-10,19283.08407151063,3965.655889802423,33189.15470492087
2025-02-17,24854.086322720716,10297.13183239154,40276.134270343726
2025-02-24,31673.433143130544,18167.183209805025,46370.077596002964
2025-03-01,32206.919197838288,16812.29648128856,46095.63529885016
2025-03-03,34305.72657302017,19557.794397908187,47933.54725642479
2025-03-10,31427.26629143942,16673.628504453387,45562.17671046384
2025-03-17,26999.183202896354,12338.891830693348,41796.02495087124
2025-03-24,25842.681808508372,11822.524887708625,40866.62740048425
2025-03-31,28850.251756816793,14482.951835621805,43671.95211447448
2025-04-01,28878.144094021696,14740.100633575383,44138.291425582975
2025-04-07,32734.125736844286,18158.54397192747,47104.753768752664
2025-04-14,33753.07858694561,18364.966201689713,48537.70567444648
2025-04-21,31006.947413220543,16062.44361078966,45258.82157635036
2025-04-28,26413.348781011013,11372.355450784882,40205.228823789774
2025-05-01,26759.6300668511,10860.710131375168,42171.602025843706
2025-05-05,22489.507648040926,6246.042613374887,37593.38355716365
2025-05-12,20633.721427100943,4959.38893671723,35671.08425019656
2025-05-19,20884.92070120557,5662.34711071493,34685.7153510611
2025-05-26,22309.52710978872,8118.501125379078,36956.68936982583
2025-06-01,29473.45483238506,14776.86251867487,43943.32528551482
2025-06-02,23427.66911735944,8920.25206217771,37858.72456002302
2025-06-09,23044.090026202768,8274.049612990366,37435.441148742706
2025-06-16,21358.813229905114,7874.823161877895,35987.04519568881
2025-06-23,20034.67184903885,5002.430534792364,34498.37716296468
2025-06-28,18193.421607752658,4002.094503934027,33702.13327096271
2025-06-29,26429.378005716106,11689.176212899847,41490.30433062938
2025-06-30,20465.60207432916,4887.995631278194,35718.335611772425
2025-07-01,20079.271024032914,5902.559874026938,33864.95998267309
2025-07-02,21573.282621134735,6456.800978192649,35261.54475060886
2025-07-03,23303.97479396542,8022.827771748332,38452.84023287878
2025-07-04,24939.50641757755,9856.353134064184,40001.56711288996
2025-07-05,19535.939670409636,5704.944196213295,34576.083674301015
2025-07-06,27826.031751918697,12147.696863727626,43172.53186937577
2025-07-07,21862.30820100109,6604.1032739327775,36515.92300991467
2025-07-08,21419.618062806632,6635.092211349661,36350.31450252931
2025-07-09,22800.049584276243,7005.421072863775,37677.987813256485
2025-07-10,24360.72818878178,9755.551354714886,38881.80876758345
2025-07-11,25772.233197771184,10565.044724111718,40840.95882638624
2025-07-12,20094.67123611638,5455.430746030171,35106.47534203274
2025-07-13,28066.41288089596,12838.624998353334,42170.15389915047
2025-07-14,21747.06486617156,7299.30072543943,37729.931674706226
2025-07-15,20919.87949561895,5834.961874149096,35669.716315393795
2025-07-16,21896.48267944653,7896.510813326588,37327.0848458398
2025-07-17,23044.446368508477,7274.245175379739,39177.755855605945
2025-07-18,24045.447078747777,8930.14673836664,37846.38488134639
2025-07-19,17971.054754098455,3907.117736782532,34157.03042211693
2025-07-20,25571.165766054168,9597.522605912241,39970.39176387502
2025-07-21,18916.66034504334,2922.300635214856,32931.607604242665
2025-07-22,17801.494608919587,2753.825494140692,31755.180118501685
2025-07-23,18547.117417169455,4594.706363272246,32157.900717482848
2025-07-24,19529.746688865234,5098.447987586263,34219.17898886612
2025-07-25,20438.255543967243,4747.354272251136,33598.480039989816
2025-07-26,14349.720727407012,-972.3433300620686,29447.39202134817
2025-07-27,22017.654628621156,7166.599061364887,36148.79913693608
2025-07-28,15514.507779068594,1607.2241669586774,30578.322456131475
2025-07-29,14633.657443189084,-509.1169403938583,28727.711921591756
2025-07-30,15693.77666968014,638.8198451807314,29978.387170941573
2025-07-31,17066.121115781163,2252.067791161408,33226.47945262553
2025-08-01,18432.48511473021,4171.303090869138,33656.03360538497
2025-08-02,12860.878926338619,-2185.850003751022,27279.855491342227
2025-08-03,21093.946318172333,6076.384904288826,36225.31742966377
2025-08-04,15191.7055735219,493.89860263379694,29960.925077460608
2025-08-05,14933.824215127337,25.08720626917569,29303.151601442598
2025-08-06,16624.315058562126,2358.4332400596677,31344.40630248736
2025-08-07,18619.182900218286,4057.6634859660708,33657.213113801095
2025-08-08,20584.76423985556,5531.887021607283,35104.44218251316
2025-08-09,15573.8020866293,758.2322539291147,30039.783714155325
2025-08-10,24314.264541540546,9553.544777115363,38750.97769019126
2025-08-11,18852.479518787244,4424.497821445357,33448.93105544424
2025-08-12,18955.785174397522,2924.847979417008,33104.90744238724
2025-08-13,20917.57324745794,5399.138460910466,35673.218303860354
2025-08-14,23085.24481467772,7462.905395160303,38187.491256896465
2025-08-15,25118.81193973306,10864.637696389364,39808.33580025255
2025-08-16,20067.1794940147,5859.629483243859,35964.80403480444
2025-08-17,28657.109443668855,13948.266090511486,44460.93143224845
2025-08-18,22936.43514120531,7073.091819913603,37155.21541092601
2025-08-19,22676.72209051582,8426.51997812526,38091.17253431423
2025-08-20,24178.251124259492,9248.522892527784,38779.70901227028
2025-08-21,25797.844120654227,10589.018623790407,39988.07268766387
2025-08-22,27207.26826259161,11897.622905040085,42464.62093300579
2025-08-23,21469.257487898303,5857.16699232082,35216.565562012234
2025-08-24,29326.15954831912,13948.572138771853,44722.600195579995
2025-08-25,22842.783938188757,8150.9731410746945,37379.97692656167
2025-08-26,21808.656291652547,7115.354583094842,36318.65211784181
2025-08-27,22542.565486084302,7636.3630973680565,36849.79916564178
2025-08-28,23419.934776271788,8512.998127312101,38860.00335617356
2025-08-29,24130.76475939757,10255.938243192253,38538.3229240449
2025-08-30,17755.198898655577,2338.8023671627725,31584.19007468016
2025-08-31,25051.732054820604,9735.127776305924,38964.02381760015
2025-09-01,18099.648942793967,3974.76868449707,34999.37829972757
2025-09-02,16700.90906782329,2635.0509718507037,30722.34559662017
2025-09-03,17184.37433232835,2284.9447635389083,32308.2577688322
2025-09-04,17932.91930614067,3349.5290725390514,33224.18689163938
2025-09-05,18641.179101828973,4046.4554882541897,33915.75792350822
2025-09-06,12390.990988068324,-2990.769324682351,27190.188078305404
2025-09-07,19939.5537059626,4774.6899872009535,34142.493342647
2025-09-08,13361.892922318037,-2414.0055431626965,28293.64690660038
2025-09-09,12452.848842433303,-1701.9978591659494,27856.725715086977
2025-09-10,13531.47959782458,-1005.8541599113503,28704.14559912437
2025-09-11,14968.4158461205,-949.6143587111594,28980.626465743324
2025-09-12,16443.91510455969,1289.6155991865605,30442.300352911734
2025-09-13,11023.663839084036,-3663.3812917977302,26608.190736849494
2025-09-14,19447.341687974782,5201.773164114929,34003.23074722291
2025-09-15,13771.525454042956,-907.3422043915065,27535.26433039269
2025-09-16,13772.137170531381,-688.9956737822681,28039.150536784415
2025-09-17,15749.317541627712,1398.1160125699525,29877.85223504742
2025-09-18,18055.24762312106,2996.8514250666835,32596.15400008204
2025-09-19,20352.654785148163,4237.503805644048,35018.63270658594
2025-09-20,15691.03893629344,403.4691899929363,29941.14582924345
2025-09-21,24795.622117524264,9835.579051336055,38918.44365794475
2025-09-22,19710.588916696004,4859.427368220959,34798.26520348628
2025-09-23,20201.813195504517,5970.549348373357,34514.81708452706
2025-09-24,22561.94523330233,7166.439651070142,37317.782114048394
2025-09-25,25138.376775455683,11008.648937281594,40508.51333174471
